case:concept:name;concept:name;start_timestamp;time:timestamp;org:resource
17;Recibir pago cliente;2012-05-14 09:38:00;2012-05-14 09:41:00;Diego
17;Entregar boleta;2012-05-14 09:41:00;2012-05-14 09:41:00;Isabel
17;Revisar frenos;2012-05-14 09:42:00;2012-05-14 09:47:00;Paco
17;Imprimir detalle defectos;2012-05-14 09:49:00;2012-05-14 09:49:00;Juan
17;Entregar papeles a cliente;2012-05-14 09:51:00;2012-05-14 09:54:00;Isabel
18;Ingresar datos vehiculo;2012-05-14 09:35:00;2012-05-14 09:35:00;Diego
18;Revisar gases;2012-05-14 09:36:00;2012-05-14 09:39:00;Paco
18;Revisar amortiguacion y direccion;2012-05-14 09:37:00;2012-05-14 09:39:00;Juan
18;Revisar luces;2012-05-14 09:37:00;2012-05-14 09:39:00;Juan
18;Recibir pago cliente;2012-05-14 09:38:00;2012-05-14 09:40:00;Diego
18;Revisar frenos;2012-05-14 09:41:00;2012-05-14 09:45:00;Juan
18;Entregar boleta;2012-05-14 09:41:00;2012-05-14 09:41:00;Diego
18;Firmar revision tecnica;2012-05-14 09:47:00;2012-05-14 09:47:00;Alejandro
18;Entregar papeles a cliente;2012-05-14 09:51:00;2012-05-14 09:54:00;Diego
19;Ingresar datos vehiculo;2012-05-14 09:39:00;2012-05-14 09:39:00;Isabel
19;Revisar amortiguacion y direccion;2012-05-14 09:40:00;2012-05-14 09:43:00;Paco
19;Recibir pago cliente;2012-05-14 09:40:00;2012-05-14 09:42:00;Isabel
19;Revisar gases;2012-05-14 09:40:00;2012-05-14 09:43:00;Juan
19;Revisar luces;2012-05-14 09:41:00;2012-05-14 09:43:00;Juan
19;Entregar boleta;2012-05-14 09:42:00;2012-05-14 09:42:00;Diego
19;Revisar frenos;2012-05-14 09:47:00;2012-05-14 09:53:00;Juan
19;Firmar revision tecnica;2012-05-14 09:55:00;2012-05-14 09:55:00;Alejandro
19;Entregar papeles a cliente;2012-05-14 09:58:00;2012-05-14 10:00:00;Diego
20;Ingresar datos vehiculo;2012-05-14 09:42:00;2012-05-14 09:42:00;Isabel
20;Revisar amortiguacion y direccion;2012-05-14 09:43:00;2012-05-14 09:45:00;Hugo
20;Revisar gases;2012-05-14 09:43:00;2012-05-14 09:46:00;Paco
20;Recibir pago cliente;2012-05-14 09:44:00;2012-05-14 09:46:00;Diego
20;Revisar luces;2012-05-14 09:44:00;2012-05-14 09:46:00;Juan
20;Entregar boleta;2012-05-14 09:46:00;2012-05-14 09:46:00;Diego
20;Revisar frenos;2012-05-14 09:49:00;2012-05-14 09:54:00;Hugo
20;Firmar revision tecnica;2012-05-14 09:56:00;2012-05-14 09:56:00;Alejandro
20;Entregar papeles a cliente;2012-05-14 10:00:00;2012-05-14 10:03:00;Isabel
21;Ingresar datos vehiculo;2012-05-14 09:43:00;2012-05-14 09:43:00;Isabel
21;Revisar gases;2012-05-14 09:44:00;2012-05-14 09:47:00;Hugo
21;Revisar luces;2012-05-14 09:45:00;2012-05-14 09:48:00;Paco
21;Revisar amortiguacion y direccion;2012-05-14 09:46:00;2012-05-14 09:48:00;Juan
21;Recibir pago cliente;2012-05-14 09:46:00;2012-05-14 09:48:00;Diego
21;Entregar boleta;2012-05-14 09:49:00;2012-05-14 09:49:00;Isabel
21;Revisar frenos;2012-05-14 09:52:00;2012-05-14 09:56:00;Paco
21;Firmar revision tecnica;2012-05-14 09:58:00;2012-05-14 09:58:00;Alejandro
21;Entregar papeles a cliente;2012-05-14 10:02:00;2012-05-14 10:06:00;Diego
22;Ingresar datos vehiculo;2012-05-14 09:41:00;2012-05-14 09:41:00;Isabel
22;Revisar gases;2012-05-14 09:42:00;2012-05-14 09:45:00;Juan
22;Revisar amortiguacion y direccion;2012-05-14 09:42:00;2012-05-14 09:45:00;Juan
22;Recibir pago cliente;2012-05-14 09:43:00;2012-05-14 09:46:00;Diego
22;Revisar luces;2012-05-14 09:43:00;2012-05-14 09:46:00;Juan
22;Entregar boleta;2012-05-14 09:46:00;2012-05-14 09:46:00;Diego
22;Revisar frenos;2012-05-14 09:48:00;2012-05-14 09:53:00;Juan
22;Firmar revision tecnica;2012-05-14 09:56:00;2012-05-14 09:56:00;Alejandro
22;Entregar papeles a cliente;2012-05-14 09:59:00;2012-05-14 10:04:00;Isabel
23;Ingresar datos vehiculo;2012-05-14 09:41:00;2012-05-14 09:41:00;Isabel
23;Revisar gases;2012-05-14 09:43:00;2012-05-14 09:45:00;Hugo
23;Recibir pago cliente;2012-05-14 09:43:00;2012-05-14 09:46:00;Isabel
23;Revisar luces;2012-05-14 09:44:00;2012-05-14 09:47:00;Juan
23;Revisar amortiguacion y direccion;2012-05-14 09:44:00;2012-05-14 09:47:00;Hugo
23;Entregar boleta;2012-05-14 09:46:00;2012-05-14 09:46:00;Isabel
23;Revisar frenos;2012-05-14 09:49:00;2012-05-14 09:53:00;Luis
23;Firmar revision tecnica;2012-05-14 09:55:00;2012-05-14 09:55:00;Alejandro
23;Entregar papeles a cliente;2012-05-14 09:57:00;2012-05-14 09:59:00;Isabel
24;Ingresar datos vehiculo;2012-05-14 09:43:00;2012-05-14 09:43:00;Isabel
24;Revisar gases;2012-05-14 09:44:00;2012-05-14 09:47:00;Luis
24;Revisar amortiguacion y direccion;2012-05-14 09:45:00;2012-05-14 09:48:00;Paco
24;Revisar luces;2012-05-14 09:46:00;2012-05-14 09:48:00;Paco
24;Recibir pago cliente;2012-05-14 09:46:00;2012-05-14 09:49:00;Isabel
24;Entregar boleta;2012-05-14 09:50:00;2012-05-14 09:50:00;Diego
24;Revisar frenos;2012-05-14 09:50:00;2012-05-14 09:56:00;Luis
24;Firmar revision tecnica;2012-05-14 09:59:00;2012-05-14 09:59:00;Alejandro
24;Entregar papeles a cliente;2012-05-14 10:02:00;2012-05-14 10:06:00;Isabel
25;Ingresar datos vehiculo;2012-05-14 09:42:00;2012-05-14 09:42:00;Isabel
25;Revisar gases;2012-05-14 09:44:00;2012-05-14 09:46:00;Juan
25;Revisar luces;2012-05-14 09:45:00;2012-05-14 09:47:00;Juan
25;Revisar amortiguacion y direccion;2012-05-14 09:45:00;2012-05-14 09:48:00;Luis
25;Recibir pago cliente;2012-05-14 09:45:00;2012-05-14 09:47:00;Diego
25;Entregar boleta;2012-05-14 09:47:00;2012-05-14 09:47:00;Isabel
25;Revisar frenos;2012-05-14 09:52:00;2012-05-14 09:56:00;Juan
25;Firmar revision tecnica;2012-05-14 09:58:00;2012-05-14 09:58:00;Alejandro
25;Entregar papeles a cliente;2012-05-14 10:01:00;2012-05-14 10:06:00;Diego
26;Ingresar datos vehiculo;2012-05-14 09:45:00;2012-05-14 09:45:00;Diego
26;Revisar gases;2012-05-14 09:46:00;2012-05-14 09:48:00;Luis
26;Recibir pago cliente;2012-05-14 09:46:00;2012-05-14 09:49:00;Diego
26;Revisar amortiguacion y direccion;2012-05-14 09:47:00;2012-05-14 09:49:00;Paco
26;Revisar luces;2012-05-14 09:47:00;2012-05-14 09:49:00;Juan
26;Entregar boleta;2012-05-14 09:49:00;2012-05-14 09:49:00;Isabel
26;Revisar frenos;2012-05-14 09:51:00;2012-05-14 09:57:00;Luis
26;Imprimir detalle defectos;2012-05-14 09:58:00;2012-05-14 09:58:00;Luis
26;Entregar papeles a cliente;2012-05-14 10:01:00;2012-05-14 10:03:00;Diego
27;Ingresar datos vehiculo;2012-05-14 09:46:00;2012-05-14 09:46:00;Isabel
27;Revisar gases;2012-05-14 09:48:00;2012-05-14 09:50:00;Hugo
27;Revisar luces;2012-05-14 09:48:00;2012-05-14 09:51:00;Hugo
27;Revisar amortiguacion y direccion;2012-05-14 09:49:00;2012-05-14 09:51:00;Hugo
27;Recibir pago cliente;2012-05-14 09:50:00;2012-05-14 09:53:00;Diego
27;Entregar boleta;2012-05-14 09:53:00;2012-05-14 09:53:00;Isabel
27;Revisar frenos;2012-05-14 09:54:00;2012-05-14 09:58:00;Hugo
27;Firmar revision tecnica;2012-05-14 10:01:00;2012-05-14 10:01:00;Alejandro
27;Entregar papeles a cliente;2012-05-14 10:04:00;2012-05-14 10:09:00;Isabel
28;Ingresar datos vehiculo;2012-05-14 09:48:00;2012-05-14 09:48:00;Diego
28;Revisar gases;2012-05-14 09:49:00;2012-05-14 09:52:00;Hugo
28;Recibir pago cliente;2012-05-14 09:50:00;2012-05-14 09:52:00;Isabel
28;Revisar luces;2012-05-14 09:51:00;2012-05-14 09:53:00;Paco
28;Revisar amortiguacion y direccion;2012-05-14 09:51:00;2012-05-14 09:54:00;Luis
28;Entregar boleta;2012-05-14 09:52:00;2012-05-14 09:52:00;Isabel
28;Revisar frenos;2012-05-14 09:56:00;2012-05-14 10:01:00;Luis
28;Firmar revision tecnica;2012-05-14 10:04:00;2012-05-14 10:04:00;Alejandro
28;Entregar papeles a cliente;2012-05-14 10:07:00;2012-05-14 10:10:00;Isabel
29;Ingresar datos vehiculo;2012-05-14 09:51:00;2012-05-14 09:51:00;Diego
29;Revisar gases;2012-05-14 09:53:00;2012-05-14 09:55:00;Juan
29;Revisar amortiguacion y direccion;2012-05-14 09:54:00;2012-05-14 09:56:00;Paco
29;Revisar luces;2012-05-14 09:54:00;2012-05-14 09:57:00;Luis
29;Recibir pago cliente;2012-05-14 09:55:00;2012-05-14 09:57:00;Isabel
29;Entregar boleta;2012-05-14 09:58:00;2012-05-14 09:58:00;Isabel
29;Revisar frenos;2012-05-14 09:59:00;2012-05-14 10:04:00;Hugo
29;Firmar revision tecnica;2012-05-14 10:07:00;2012-05-14 10:07:00;Alejandro
29;Entregar papeles a cliente;2012-05-14 10:10:00;2012-05-14 10:13:00;Diego
30;Ingresar datos vehiculo;2012-05-14 09:51:00;2012-05-14 09:51:00;Isabel
30;Revisar amortiguacion y direccion;2012-05-14 09:52:00;2012-05-14 09:55:00;Juan
30;Revisar gases;2012-05-14 09:53:00;2012-05-14 09:55:00;Hugo
30;Revisar luces;2012-05-14 09:53:00;2012-05-14 09:56:00;Juan
30;Recibir pago cliente;2012-05-14 09:53:00;2012-05-14 09:56:00;Diego
30;Entregar boleta;2012-05-14 09:56:00;2012-05-14 09:56:00;Diego
30;Revisar frenos;2012-05-14 09:57:00;2012-05-14 10:02:00;Hugo
30;Firmar revision tecnica;2012-05-14 10:05:00;2012-05-14 10:05:00;Alejandro
30;Entregar papeles a cliente;2012-05-14 10:07:00;2012-05-14 10:12:00;Diego
31;Ingresar datos vehiculo;2012-05-14 09:52:00;2012-05-14 09:52:00;Isabel
31;Revisar gases;2012-05-14 09:54:00;2012-05-14 09:56:00;Luis
31;Revisar amortiguacion y direccion;2012-05-14 09:54:00;2012-05-14 09:56:00;Luis
31;Recibir pago cliente;2012-05-14 09:55:00;2012-05-14 09:57:00;Diego
31;Revisar luces;2012-05-14 09:55:00;2012-05-14 09:57:00;Luis
31;Entregar boleta;2012-05-14 09:57:00;2012-05-14 09:57:00;Diego
31;Revisar frenos;2012-05-14 10:00:00;2012-05-14 10:05:00;Paco
31;Firmar revision tecnica;2012-05-14 10:07:00;2012-05-14 10:07:00;Alejandro
31;Entregar papeles a cliente;2012-05-14 10:10:00;2012-05-14 10:15:00;Diego
32;Ingresar datos vehiculo;2012-05-14 09:50:00;2012-05-14 09:50:00;Diego
32;Revisar gases;2012-05-14 09:51:00;2012-05-14 09:53:00;Hugo
32;Revisar amortiguacion y direccion;2012-05-14 09:52:00;2012-05-14 09:55:00;Paco
32;Revisar luces;2012-05-14 09:53:00;2012-05-14 09:55:00;Hugo
32;Recibir pago cliente;2012-05-14 09:53:00;2012-05-14 09:54:00;Diego
32;Entregar boleta;2012-05-14 09:55:00;2012-05-14 09:55:00;Isabel
32;Revisar frenos;2012-05-14 09:57:00;2012-05-14 10:02:00;Hugo
32;Firmar revision tecnica;2012-05-14 10:05:00;2012-05-14 10:05:00;Alejandro
32;Entregar papeles a cliente;2012-05-14 10:09:00;2012-05-14 10:10:00;Diego
33;Ingresar datos vehiculo;2012-05-14 09:55:00;2012-05-14 09:55:00;Diego
33;Revisar gases;2012-05-14 09:56:00;2012-05-14 09:59:00;Hugo
33;Recibir pago cliente;2012-05-14 09:57:00;2012-05-14 09:58:00;Diego
33;Revisar luces;2012-05-14 09:57:00;2012-05-14 10:00:00;Juan
33;Revisar amortiguacion y direccion;2012-05-14 09:57:00;2012-05-14 10:00:00;Luis
33;Entregar boleta;2012-05-14 09:59:00;2012-05-14 09:59:00;Diego
33;Revisar frenos;2012-05-14 10:02:00;2012-05-14 10:07:00;Paco
33;Firmar revision tecnica;2012-05-14 10:10:00;2012-05-14 10:10:00;Alejandro
33;Entregar papeles a cliente;2012-05-14 10:12:00;2012-05-14 10:14:00;Diego
34;Ingresar datos vehiculo;2012-05-14 09:58:00;2012-05-14 09:58:00;Isabel
34;Revisar gases;2012-05-14 10:00:00;2012-05-14 10:03:00;Luis
34;Revisar luces;2012-05-14 10:00:00;2012-05-14 10:03:00;Luis
34;Recibir pago cliente;2012-05-14 10:01:00;2012-05-14 10:02:00;Isabel
34;Revisar amortiguacion y direccion;2012-05-14 10:01:00;2012-05-14 10:04:00;Paco
34;Entregar boleta;2012-05-14 10:03:00;2012-05-14 10:03:00;Diego
34;Revisar frenos;2012-05-14 10:06:00;2012-05-14 10:10:00;Paco
34;Firmar revision tecnica;2012-05-14 10:13:00;2012-05-14 10:13:00;Alejandro
34;Entregar papeles a cliente;2012-05-14 10:15:00;2012-05-14 10:16:00;Isabel
35;Ingresar datos vehiculo;2012-05-14 09:59:00;2012-05-14 09:59:00;Isabel
35;Revisar gases;2012-05-14 10:01:00;2012-05-14 10:03:00;Juan
35;Revisar luces;2012-05-14 10:01:00;2012-05-14 10:04:00;Juan
35;Revisar amortiguacion y direccion;2012-05-14 10:01:00;2012-05-14 10:04:00;Juan
35;Recibir pago cliente;2012-05-14 10:02:00;2012-05-14 10:03:00;Diego
35;Entregar boleta;2012-05-14 10:03:00;2012-05-14 10:03:00;Diego
35;Revisar frenos;2012-05-14 10:06:00;2012-05-14 10:11:00;Juan
35;Firmar revision tecnica;2012-05-14 10:13:00;2012-05-14 10:13:00;Alejandro
35;Entregar papeles a cliente;2012-05-14 10:17:00;2012-05-14 10:18:00;Isabel
36;Ingresar datos vehiculo;2012-05-14 10:01:00;2012-05-14 10:01:00;Diego
36;Revisar gases;2012-05-14 10:02:00;2012-05-14 10:05:00;Paco
36;Revisar luces;2012-05-14 10:03:00;2012-05-14 10:05:00;Paco
36;Revisar amortiguacion y direccion;2012-05-14 10:04:00;2012-05-14 10:07:00;Hugo
36;Recibir pago cliente;2012-05-14 10:04:00;2012-05-14 10:05:00;Diego
36;Entregar boleta;2012-05-14 10:05:00;2012-05-14 10:05:00;Diego
36;Revisar frenos;2012-05-14 10:09:00;2012-05-14 10:13:00;Paco
36;Firmar revision tecnica;2012-05-14 10:15:00;2012-05-14 10:15:00;Alejandro
36;Entregar papeles a cliente;2012-05-14 10:18:00;2012-05-14 10:22:00;Isabel
37;Ingresar datos vehiculo;2012-05-14 10:00:00;2012-05-14 10:00:00;Diego
37;Recibir pago cliente;2012-05-14 10:01:00;2012-05-14 10:03:00;Isabel
